source,dest,month_code,qty,Unnamed: 4,Unnamed: 5,month
NDC_Changshu,RDC_Xiangfan,Period_007,17912,,,7
NDC_Changshu,RDC_Maanshan,Period_008,17588,,,8
NDC_Changshu,RDC_Jinzhou,Period_008,17587,,,8
NDC_Changshu,RDC_Chengdu,Period_007,17574,,,7
NDC_Changshu,RDC_Linyi,Period_010,17431,,,10
NDC_Changshu,RDC_Nanyang,Period_011,17318,,,11
NDC_Changshu,RDC_Shangqiu,Period_008,16984,,,8
NDC_Changshu,RDC_Suzhou,Period_008,16571,,,8
NDC_Changshu,RDC_Huaian,Period_007,16540,,,7
NDC_Changshu,RDC_Shijiazhuang,Period_005,16400,,,5
NDC_Changshu,RDC_Jiaozuo,Period_012,16364,,,12
NDC_Changshu,RDC_Jingmen,Period_012,16350,,,12
NDC_Changshu,RDC_Chongqing,Period_009,16283,,,9
NDC_Changshu,RDC_Xian2,Period_010,15901,,,10
NDC_Changshu,RDC_Huaian,Period_008,15894,,,8
NDC_Changshu,RDC_Jinzhou,Period_006,15682,,,6
NDC_Changshu,RDC_Xiangfan,Period_006,15596,,,6
NDC_Changshu,RDC_Tangshan,Period_006,15441,,,6
NDC_Changshu,RDC_Wuxi,Period_007,15362,,,7
NDC_Changshu,RDC_Handan,Period_007,15285,,,7
NDC_Changshu,RDC_Jiaozuo,Period_010,15078,,,10
NDC_Changshu,RDC_Lanzhou,Period_005,15020,,,5
NDC_Changshu,RDC_Maanshan,Period_007,14945,,,7
NDC_Changshu,RDC_Yangzhou,Period_001,14760,,,1
NDC_Changshu,RDC_Nanjing,Period_006,14703,,,6
NDC_Changshu,RDC_Hangzhou,Period_005,14689,,,5
NDC_Changshu,RDC_Puyang,Period_007,14641,,,7
NDC_Changshu,RDC_Kunming,Period_006,14512,,,6
NDC_Changshu,RDC_Tianjin,Period_005,14240,,,5
NDC_Changshu,RDC_Xian2,Period_008,14140,,,8
NDC_Changshu,RDC_Lianyungang,Period_006,14104,,,6
NDC_Changshu,RDC_Changsha,Period_007,14037,,,7
NDC_Changshu,RDC_Ningbo,Period_005,13910,,,5
NDC_Changshu,RDC_Ningde,Period_012,13780,,,12
NDC_Changshu,RDC_Ningde,Period_009,13694,,,9
NDC_Changshu,RDC_Xian2,Period_007,13559,,,7
NDC_Changshu,RDC_Weifang,Period_006,13549,,,6
NDC_Changshu,RDC_Shanghai1,Period_006,13380,,,6
NDC_Changshu,RDC_Hefei2,Period_008,13046,,,8
NDC_Changshu,RDC_Linyi,Period_009,12557,,,9
NDC_Changshu,RDC_Zhuzhou,Period_007,12472,,,7
NDC_Changshu,RDC_Jinan,Period_005,12437,,,5
NDC_Changshu,RDC_Shanghai2,Period_006,12300,,,6
NDC_Changshu,RDC_Nanyang,Period_010,12241,,,10
NDC_Changshu,RDC_Taiyuan1,Period_006,12130,,,6
NDC_Changshu,RDC_Shanghai2,Period_001,12099,,,1
NDC_Changshu,RDC_Zhuzhou,Period_006,12090,,,6
NDC_Changshu,RDC_Jinzhou,Period_007,11980,,,7
NDC_Changshu,RDC_Yangzhou,Period_008,11841,,,8
NDC_Changshu,RDC_Neijiang,Period_005,11797,,,5
NDC_Changshu,RDC_Meishan,Period_006,11690,,,6
NDC_Changshu,RDC_Huaian,Period_006,11482,,,6
NDC_Changshu,RDC_Hefei2,Period_006,11256,,,6
NDC_Changshu,RDC_Jingmen,Period_009,11214,,,9
NDC_Changshu,RDC_Handan,Period_006,10929,,,6
NDC_Changshu,RDC_Wuxi,Period_006,10911,,,6
NDC_Changshu,RDC_Shijiazhuang,Period_006,10837,,,6
NDC_Changshu,RDC_Ningde,Period_011,10520,,,11
NDC_Changshu,RDC_Wuhan,Period_008,10380,,,8
NDC_Changshu,RDC_Meishan,Period_008,10255,,,8
NDC_Changshu,RDC_Taiyuan1,Period_005,9950,,,5
NDC_Changshu,RDC_Ningbo,Period_007,9870,,,7
